,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_model_snr
7019,K06735.01,FALSE POSITIVE,5.08840787,4.77204,386682.0,0.513,55.3,937.0,181.75,3095.0
7020,K06736.01,FALSE POSITIVE,18.527824075,5.88678,76231.1,0.171,64.66,1080.0,322.19,5547.2
7021,K06861.01,FALSE POSITIVE,12.155241119,6.84353,85531.5,0.825,34.62,788.0,91.2,1767.8
7022,K06863.01,CONFIRMED,4.48559215,0.8161,2265.0,0.442,0.95,365.0,4.2,15.0
7023,K06864.01,FALSE POSITIVE,0.566789763,4.008,25.4,0.6376,0.4,1984.0,3662.84,15.4
7024,K06865.01,FALSE POSITIVE,0.566811926,4.181,82.6,0.681,0.91,2293.0,6584.06,22.5
7025,K06866.01,FALSE POSITIVE,2.525386934,3.71613,124878.0,0.934,67.24,1701.0,1982.55,1003.0
7026,K06867.01,FALSE POSITIVE,0.566801506,1.738,29.5,0.369,0.62,2557.0,10156.53,19.2
7027,K06868.01,FALSE POSITIVE,0.566803738,1.8481,100.6,0.6755,1.13,2450.0,8516.13,33.1
7028,K06992.01,FALSE POSITIVE,1.69421771,4.161,91.1,0.734,0.74,1274.0,621.89,15.0
7029,K06995.01,FALSE POSITIVE,2.739477089,3.18229,32096.1,1.189,50.48,1475.0,1120.19,593.6
7030,K06996.01,FALSE POSITIVE,1.307761491,2.22271,13941.0,1.237,29.17,1298.0,671.75,531.5
7031,K06997.01,FALSE POSITIVE,4.028671454,8.12253,113967.0,0.294,52.42,1492.0,1169.87,2152.8
7032,K06998.01,FALSE POSITIVE,2.30118753,7.8216,87537.0,1.033,140.23,2783.0,14194.09,404.8
7033,K06999.01,FALSE POSITIVE,0.449249224,4.7565,419437.0,0.494,95.83,2941.0,17801.78,1194.9
7034,K07127.01,FALSE POSITIVE,0.687004402,3.829,93.7,0.689,2.89,3535.0,36888.8,45.0
7035,K07128.01,FALSE POSITIVE,0.91839938,4.479,152.1,0.519,1.0,1558.0,1389.28,16.8
7036,K07130.01,FALSE POSITIVE,0.94356284,5.721,13.4,0.569,0.76,3176.0,23945.42,16.0
7037,K07131.01,FALSE POSITIVE,2.243569483,4.14769,66328.2,0.381,21.11,1364.0,817.05,1107.7
